19.21762,4.891654,-58.85099,-56.7354,
37.50513,7.36191,-39.46519,-37.38834,
39.56707,-2.342669,-39.08832,-37.01221,
37.37533,-8.628591,-42.49703,-40.41412,
34.901,3.016905,-42.94928,-40.86546,
23.4713,1.472996,-55.0654,-52.95738,
25.94563,-10.1725,-54.61316,-52.50603,
21.27956,-4.812925,-58.47412,-56.35928,
13.53872,3.067689,-58.03725,-55.92328,
31.82624,5.537945,-38.65144,-36.57621,
33.88818,-4.166635,-38.27457,-36.20009,
31.69644,-10.45256,-41.68328,-39.60199,
29.22211,1.19294,-42.13553,-40.05334,
17.79241,-0.3509699,-54.25166,-52.14526,
20.26674,-11.99647,-53.79941,-51.69391,
15.60067,-6.63689,-57.66037,-55.54716
